time	magnitude	longitude	latitude	depth(m)	sigma_time	sigma_amp	cov_time_amp	event_index	gamma_score
2017-11-01T00:55:16.813	2.302	-95.213	15.863	0.000	1.658	0.525	0.336	0	22.000
2017-11-01T01:26:24.447	2.000	-95.243	15.809	0.000	1.483	0.374	0.320	1	22.152
2017-11-01T01:36:45.760	1.633	-95.130	16.505	63.584	0.898	0.395	0.216	2	24.640
2017-11-01T02:20:57.080	1.956	-94.853	15.582	67.469	1.552	0.388	-0.128	3	14.444
2017-11-01T03:49:37.776	2.665	-95.156	16.507	0.000	1.344	0.382	-0.586	4	36.862
2017-11-01T03:56:54.911	2.291	-95.252	16.266	0.000	1.087	0.456	0.168	5	23.934
2017-11-01T04:15:14.309	1.687	-95.251	16.255	0.000	1.334	0.280	0.190	6	16.788
2017-11-01T04:36:27.506	1.766	-95.288	15.851	0.000	1.523	0.432	0.267	7	15.885
2017-11-01T04:40:57.371	1.938	-95.229	16.279	0.000	1.008	0.361	-0.079	8	18.972
2017-11-01T04:44:02.398	2.036	-94.412	15.095	1034.054	1.760	0.314	0.182	9	13.662
2017-11-01T05:04:43.557	1.596	-95.818	16.242	14896.914	0.941	0.294	0.292	10	13.975
2017-11-01T05:18:58.723	2.591	-95.196	15.954	47197.762	1.745	0.557	0.161	11	28.872
2017-11-01T05:51:02.836	1.516	-95.242	16.289	0.000	1.052	0.430	-0.820	12	13.000
2017-11-01T06:03:19.639	1.308	-94.478	15.229	0.000	1.224	0.325	-0.469	13	9.000
2017-11-01T06:20:09.205	2.439	-94.739	15.251	0.000	2.153	0.435	0.931	14	26.781
2017-11-01T06:25:38.075	1.459	-95.266	15.966	19679.598	0.846	0.300	0.008	15	9.996
2017-11-01T06:28:05.353	1.453	-94.616	15.785	65707.644	0.180	0.337	-0.041	16	9.229
2017-11-01T06:31:16.884	1.485	-93.980	17.022	111789.666	1.455	0.447	0.050	17	8.724
2017-11-01T06:48:28.016	1.535	-95.214	16.546	0.000	0.858	0.315	0.762	18	16.966
2017-11-01T06:50:29.309	1.809	-94.497	15.411	116.382	0.983	0.368	-0.072	19	16.996
2017-11-01T07:00:46.816	2.196	-95.299	15.926	0.000	1.494	0.508	0.439	20	18.858
2017-11-01T07:24:35.420	1.786	-94.727	15.510	0.000	1.534	0.306	0.206	21	14.000
2017-11-01T07:30:19.768	1.872	-94.942	16.084	73854.719	1.915	0.384	0.014	22	13.928
2017-11-01T07:37:36.786	2.473	-94.664	15.394	0.000	1.684	0.404	0.403	23	25.654
2017-11-01T07:39:41.661	1.126	-95.182	16.494	129.963	0.801	0.332	0.613	24	10.593
2017-11-01T07:55:32.278	2.249	-95.287	15.842	0.000	1.735	0.422	0.049	25	29.000
2017-11-01T08:05:57.648	1.586	-95.247	15.994	29190.898	0.969	0.508	-0.041	26	11.680
2017-11-01T08:27:37.207	1.706	-95.447	17.208	62352.771	1.151	0.362	0.008	27	9.883
2017-11-01T08:42:46.461	2.005	-94.648	15.500	0.000	0.926	0.337	0.157	28	18.132
2017-11-01T08:43:03.481	2.089	-95.409	16.964	39854.267	1.061	0.404	-0.035	29	20.790
2017-11-01T08:53:06.565	1.981	-93.332	16.476	153864.739	1.285	0.422	0.310	30	15.630
2017-11-01T08:57:52.969	2.336	-94.847	15.438	0.000	2.107	0.409	0.460	31	25.429
2017-11-01T09:03:46.897	1.450	-95.388	16.323	0.000	0.759	0.347	-0.836	32	12.971
2017-11-01T09:25:01.609	1.717	-95.239	16.286	26.996	0.675	0.405	0.040	33	14.987
2017-11-01T09:26:35.184	1.752	-95.061	15.907	7.950	1.422	0.342	0.900	34	21.560
2017-11-01T09:27:43.358	1.561	-95.096	16.539	0.000	1.029	0.348	0.048	35	11.937
2017-11-01T09:28:04.707	2.290	-94.928	15.379	0.000	2.316	0.398	0.849	36	25.986
2017-11-01T09:29:58.988	1.642	-95.066	16.523	0.000	0.635	0.377	-0.070	37	11.998
2017-11-01T09:32:40.728	2.525	-95.847	16.150	63874.260	1.619	0.471	0.392	38	25.997
2017-11-01T09:36:18.165	1.953	-95.240	16.273	0.000	0.913	0.431	0.065	39	19.989
2017-11-01T09:38:37.481	1.972	-93.861	15.335	0.000	1.877	0.403	0.213	40	17.008
