station	longitude	latitude	elevation(m)	unit	component	response
IG.CCIG..HH	-92.1368	16.2818	1625	m/s	E,N,Z	627368000.00,627368000.00,627368000.00
IG.CMIG..HH	-94.8838	17.0910	75	m/s	E,N,Z	627368000.00,627368000.00,627368000.00
IG.HLIG..HH	-97.8036	17.8300	1773	m/s	E,N,Z	213979.00,214322.00,213808.00
IG.HUIG..HH	-96.1083	15.7692	102	m/s	E,N,Z	627368000.00,627368000.00,627368000.00
IG.OXIG..HH	-96.7330	17.0726	1712	m/s	E,N,Z	627368000.00,627368000.00,627368000.00
IG.PCIG..HH	-93.2188	15.7046	69	m/s	E,N,Z	213945.00,213808.00,213740.00
IG.PEIG..HH	-97.1472	15.9986	332	m/s	E,N,Z	627368000.00,627368000.00,627368000.00
IG.PNIG..HH	-98.1274	16.3928	237	m/s	E,N,Z	627368000.00,627368000.00,627368000.00
IG.TGIG..HH	-93.1223	16.7780	608	m/s	E,N,Z	214399.00,213971.00,214484.00
IG.THIG..HH	-92.2958	14.8823	117	m/s	E,N,Z	784866000.00,784866000.00,790478000.00
IG.TLIG..HH	-98.5665	17.5627	1109	m/s	E,N,Z	784866000.00,784866000.00,790478000.00
IG.TOIG..HH	-97.0645	18.0956	1011	m/s	E,N,Z	213808.00,213945.00,214185.00
IG.TUIG..HH	-94.4225	18.0337	17	m/s	E,N,Z	628306000.00,629984000.00,627467000.00
IG.TXIG..HH	-97.7612	17.2543	2314	m/s	E,N,Z	628306000.00,629984000.00,627467000.00
IG.YOIG..HH	-97.5459	16.8578	2274	m/s	E,N,Z	213757.00,213671.00,213201.00
ZB.B01..HH	-92.2166	14.5593	10	m/s	E,N,Z	213757.00,213671.00,213201.00
ZB.B02..HH	-92.6940	15.2831	29	m/s	E,N,Z	627368000.00,627368000.00,627368000.00
ZB.B03..HH	-92.8915	15.4410	53	m/s	E,N,Z	627368000.00,627368000.00,627368000.00
ZB.B04..HH	-92.2167	15.5593	2212	m/s	E,N,Z	213911.00,214219.00,213911.00
ZB.B05..HH	-93.7844	16.0784	31	m/s	E,N,Z	256354.00,256354.00,256354.00
ZB.B06..HH	-94.1947	16.2919	22	m/s	E,N,Z	622338000.00,618992000.00,616482000.00
ZB.B08..HH	-95.2013	16.2215	20	m/s	E,N,Z	214253.00,213671.00,213979.00
ZB.B09..HH	-95.8096	15.9094	26	m/s	E,N,Z	629145000.00,629145000.00,629145000.00
ZB.B10..HH	-93.2716	16.2247	567	m/s	E,N,Z	629145000.00,629145000.00,629145000.00
ZB.A03..HH	-94.4807	16.3581	17	m/s	E,N,Z	214056.00,213628.00,213842.00
ZB.A04..HH	-93.9126	16.2473	69	m/s	E,N,Z	626910000.00,626910000.00,626838000.00

